campaign_id,collection_name,rail_name,rail_position,pinned,collection_rank,product_url,product_name,brand,price,currency,image_url,stock_status,observed_at,notes
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,6,yes,11,https://www.ellisbrooklyn.com/products/memoir-fragrance-discovery-set,MEMOIR Fragrance Discovery Set,Ellis Brooklyn,39,USD,,in_stock,2026-06-06,[travel_discovery] 9x1.5mL of the full EB range; under-$40 t
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,7,yes,12,https://www.sephora.com/product/vanilla-era-eau-de-parfum-P516494,Vanilla Era,Boy Smells,78,USD,,in_stock,2026-06-06,[night] Vanilla absolute + black amber + espresso; the warm 
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,8,yes,13,https://www.dsanddurga.com/products/i-dont-know-what,I Don't Know What,D.S. & Durga,225,USD,,in_stock,2026-06-06,[skin_scent] Iso E Super skin-amplifier; doubles as a layeri
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,9,yes,14,https://www.dsanddurga.com/products/big-sur-eucalyptus,Big Sur Eucalyptus,D.S. & Durga,225,USD,,in_stock,2026-06-06,[fresh_day] Eucalyptus/cardamom/cypress coastal fresh; the a
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,10,yes,15,https://www.dsanddurga.com/products/i-dont-know-what-pocket-perfume-spray-eau-de-parfum,I Don't Know What Pocket Spray,D.S. & Durga,80,USD,,in_stock,2026-06-06,[travel_discovery] Pocket spray of the IDKW enhancer; the la
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,16,https://www.sephora.com/product/replica-by-fireplace-P404758,REPLICA By the Fireplace,Maison Margiela,170,USD,,unknown,2026-06-06,[night] Chestnut/vanilla/clove cozy fireside night scent; bo
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,17,https://www.sephora.com/product/replica-by-fireplace-P404758,REPLICA By the Fireplace,Maison Margiela,115,USD,,unknown,2026-06-06,[night] 30mL of the cozy night scent; 30mL price inferred (1
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,11,yes,18,https://www.sephora.com/product/glossier-glossier-you-eau-de-parfum-P504364,You Eau de Parfum,Glossier,82,USD,,in_stock,2026-06-06,[signature] Ambrette/iris/musk chameleon skin scent; the acc
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,12,yes,19,https://www.sephora.com/product/kayali-vanilla-P439406,VANILLA | 28,Kayali,105,USD,,in_stock,2026-06-06,[night] Vanilla/musk/amber; the #1 PerfumeTok vanilla layeri
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,20,https://www.sephora.com/product/kayali-vanilla-P439406,VANILLA | 28,Kayali,150,USD,,in_stock,2026-06-06,[night] Full-size 100mL; the layering staple worn over Gloss
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,21,https://snif.co/products/sweet-ash,Sweet Ash,Snif,68,USD,,unknown,2026-06-06,"[signature] Juniper/fir/tonka/vanilla; Snif's #1 bestseller,"
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,22,https://snif.co/products/sweet-ash,Sweet Ash Mini,Snif,26,USD,,unknown,2026-06-06,[travel_discovery] Mini of Sweet Ash w/ return option; under
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,23,https://henryrose.com/products/queens-monsters,Queens & Monsters,Henry Rose,120,USD,,in_stock,2026-06-06,"[occasion] Jasmine/coco-musk/sandalwood; EWG-Verified, Allur"
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,24,https://henryrose.com/products/windows-down,Windows Down,Henry Rose,120,USD,,unknown,2026-06-06,[fresh_day] Grapefruit/bergamot/Earl-Grey bright citrus; cle
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,25,https://henryrose.com/products/queens-monsters,Queens & Monsters Travel Spray,Henry Rose,35,USD,,in_stock,2026-06-06,[travel_discovery] 8mL travel of the occasion hero; under-$4
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,26,https://www.lelabofragrances.com/santal-33-147.html,Santal 33,Le Labo,214,USD,,unknown,2026-06-06,[signature] Cardamom/sandalwood/leather; the original 'cool-
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,27,https://www.byredo.com/us_en/p/mojave-ghost-eau-de-parfum,Mojave Ghost,Byredo,225,USD,,unknown,2026-06-06,[occasion] Ambrette/magnolia/sandalwood; Byredo's diffusive 
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,28,https://www.byredo.com/us_en/p/gypsy-water-eau-de-parfum,Gypsy Water,Byredo,225,USD,,unknown,2026-06-06,[night] Bergamot/incense/pine/vanilla; the iconic Byredo dus
seasonal-turn-exec-2026,Perfume Wardrobe,The Scent You Keep,,no,29,https://www.franciskurkdjian.com/us-en/p/baccarat-rouge-540-eau-de-parfum-RA12232.html,Baccarat Rouge 540,Maison Francis Kurkdjian,360,USD,,in_stock,2026-06-06,[occasion] Saffron/amberwood; the #1 'smell expensive' refer
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,1,https://eng.polene-paris.com/products/cyme-raffia,Cyme Raffia,Polène,540,USD,,unknown,2026-06-06,Handwoven Madagascar raffia tote; THE summer-2026 it-bag ear
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,2,https://eng.polene-paris.com/products/cyme-mini-raffia,Cyme Mini Raffia,Polène,450,USD,,unknown,2026-06-06,Mini top-handle/crossbody of the icon Cyme in raffia; the wa
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,3,https://eng.polene-paris.com/products/cyme-raffia-ebony,Cyme Raffia,Polène,540,USD,,unknown,2026-06-06,Darker raffia colorway of the Cyme for versatility; raffia i
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,4,https://staud.clothing/products/tommy-beaded-bag-staudines-pink,Tommy Beaded Bag,Staud,295,USD,,sold_out,2026-07-19,Hand-beaded shoulder bag — TikTok's 'bag of the summer'; thi
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,1,yes,5,https://staud.clothing/products/tommy-beaded-bag-california-clouds,Tommy Beaded Bag,Staud,350,USD,,in_stock,2026-06-06,Limited-edition summer print of the viral hand-beaded Tommy;
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,6,https://staud.clothing/products/moon-raffia-bag-natural-tan,Moon Raffia Bag,Staud,350,USD,,sold_out,2026-07-19,100% raffia crescent/moon silhouette bridging tote+shoulder;
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,7,https://cultgaia.com/products/pearl-bag-ivory,Pearl Bag,Cult Gaia,498,USD,,sold_out,2026-07-19,"Sculptural pearl-handle clutch, a Cult Gaia 'ICON' SKU; the "
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,2,yes,8,https://cultgaia.com/products/azariah-bag-espresso,Azariah Bag,Cult Gaia,498,USD,,in_stock,2026-06-06,Half-moon top-handle (sculptural top-handle trend); Chrome-c
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,3,yes,9,https://cultgaia.com/products/farah-shoulder-bag-natural,Farah Shoulder Bag,Cult Gaia,358,USD,,in_stock,2026-06-06,Natural straw shoulder bag filling the raffia slot; Chrome-c
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,4,yes,10,https://baggu.com/products/medium-nylon-crescent-bag-black-key-leash,Medium Nylon Crescent Bag,Baggu,56,USD,,in_stock,2026-06-06,Recycled-nylon crescent crossbody — Baggu's everyday-bag Tik
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,5,yes,11,https://baggu.com/products/small-nylon-crescent-bag-piscine,Small Nylon Crescent Bag,Baggu,52,USD,,in_stock,2026-06-06,Smaller crescent in the cult Piscine blue; $52 entry mini-cr
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,6,yes,12,https://baggu.com/products/fanny-pack-piscine,Fanny Pack,Baggu,56,USD,,in_stock,2026-06-06,"Crossbody/waist belt-bag with 45in strap; $56, machine washa"
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,7,yes,13,https://baggu.com/products/medium-recycled-leather-crescent-bag-black,Medium Recycled Leather Crescent Bag,Baggu,117,USD,,in_stock,2026-06-06,Elevated recycled-leather version of the viral crescent; $11
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,8,yes,14,https://www.clarev.com/products/grande-fanny-tan-rattan-updated-zipper,Grande Fanny,Clare V,425,USD,,in_stock,2026-06-06,Handwoven rattan belt bag/crossbody — Clare V permanent best
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,9,yes,15,https://www.clarev.com/products/sandy-natural,Sandy,Clare V,185,USD,,in_stock,2026-06-06,"Slouchy leather summer tote, an icon-status everyday carry; "
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,10,yes,16,https://www.clarev.com/products/sandy-palm-twisted-raffia-w-sea-charms,Sandy,Clare V,295,USD,,in_stock,2026-06-06,Raffia Sandy with brass sea charms — the on-trend charm-bag-
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,11,yes,17,https://www.clarev.com/products/petit-pot-de-miel-w-bamboo-handle-cream,Petit Pot de Miel w/ Bamboo Handle,Clare V,245,USD,,in_stock,2026-06-06,Bamboo-handle bucket bag in cream; the structured-summer buc
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,18,https://loefflerrandall.com/products/granger-natural-cognac-straw-basket,Granger Straw Basket Tote,Loeffler Randall,395,USD,,sold_out,2026-07-19,Natural raffia market-basket tote w/ cognac trim; SOLD OUT/w
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,19,https://loefflerrandall.com/products/cyrus-natural-ruffled-woven-tote,Cyrus Ruffled Woven Tote,Loeffler Randall,175,USD,,sold_out,2026-07-19,Open crocheted raffia tote with ruffle detail; sculptural + 
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,12,yes,20,https://kayudesign.com/products/st-tropez-2,St Tropez Pom Pom Straw Tote,Kayu,165,USD,,in_stock,2026-06-06,Hand-woven seagrass market basket w/ raffia pom-poms; Kayu i
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,21,https://kayudesign.com/products/carmen-woven-straw-clutch-bag,Carmen Woven Straw Clutch,Kayu,172.5,USD,,sold_out,2026-07-19,"Woven straw clutch, the silhouette-gap filler; on sale $172."
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,22,https://kayudesign.com/products/palm-beach-embroidered-straw-clutch-bag,Palm Beach Embroidered Straw Clutch,Kayu,380,USD,,in_stock,2026-06-06,Hand-embroidered straw clutch; handcraft+embellishment macro
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,23,https://www.madewell.com/p/womens/accessories/bags/totes/the-canvas-transport-tote/F9414/,The Canvas Transport Tote,Madewell,78,USD,,sold_out,2026-07-19,Sturdy canvas tote w/ leather straps — perennial sub-$100 wo
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,24,https://www.madewell.com/p/womens/sale/bags/the-transport-tote-straw-edition/NF072/,The Transport Tote Straw Edition,Madewell,98,USD,,unknown,2026-06-06,Straw version of the iconic Transport silhouette; ~$98 (on s
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,25,https://shop.mango.com/us/en/p/women/bags/natural-materials/100-raffia-tote-bag_27046726,100% Raffia Tote Bag,Mango,179.99,USD,,in_stock,2026-06-07,100% raffia double-handle tote; the cited sub-$200 raffia he
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,26,https://shop.mango.com/us/en/p/men/backpacks-and-bags/bags/raffia-tote-bag_87069204,Raffia Tote Bag (Men's),Mango,79.99,USD,,unknown,2026-06-06,"Men's-line raffia tote, unisex appeal; ~$80 sub-$100 entry. "
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,27,https://www.loewe.com/usa/en/women/bags/baskets/small-basket-bag-in-palm-leaf-and-calfskin/327.02.S93-2435.html,Small Basket Bag in Palm Leaf and Calfskin,Loewe,650,USD,,in_stock,2026-06-06,"THE luxury summer basket, handwoven palm leaf+calfskin; Chro"
seasonal-turn-exec-2026,The Summer Bag,The Bag That Survives The Turn,,no,28,https://www.senreve.com/products/aria-belt-bag-pebbled,Aria Belt Bag,Senreve,495,USD,,in_stock,2026-06-06,Structured Italian-leather belt bag (multi-wear); the elevat
