campaign_id,collection_name,rail_name,collection_rank,pinned,product_url,product_name,brand,price,currency,image_url,notes
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,8,yes,,Azariah Bag,Cult Gaia,498,USD,,Half-moon top-handle (sculptural top-handle trend); Chrome-c
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,9,yes,,Farah Shoulder Bag,Cult Gaia,358,USD,,Natural straw shoulder bag filling the raffia slot; Chrome-c
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,10,yes,,Medium Nylon Crescent Bag,Baggu,56,USD,,Recycled-nylon crescent crossbody — Baggu's everyday-bag Tik
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,11,yes,,Small Nylon Crescent Bag,Baggu,52,USD,,Smaller crescent in the cult Piscine blue; $52 entry mini-cr
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,12,yes,,Fanny Pack,Baggu,56,USD,,"Crossbody/waist belt-bag with 45in strap; $56, machine washa"
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,13,no,,Medium Recycled Leather Crescent Bag,Baggu,117,USD,,Elevated recycled-leather version of the viral crescent; $11
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,14,no,,Grande Fanny,Clare V,425,USD,,Handwoven rattan belt bag/crossbody — Clare V permanent best
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,15,no,,Sandy,Clare V,185,USD,,"Slouchy leather summer tote, an icon-status everyday carry; "
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,16,no,,Sandy,Clare V,295,USD,,Raffia Sandy with brass sea charms — the on-trend charm-bag-
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,17,no,,Petit Pot de Miel w/ Bamboo Handle,Clare V,245,USD,,Bamboo-handle bucket bag in cream; the structured-summer buc
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,18,no,,Granger Straw Basket Tote,Loeffler Randall,395,USD,,Natural raffia market-basket tote w/ cognac trim; SOLD OUT/w
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,19,no,,Cyrus Ruffled Woven Tote,Loeffler Randall,175,USD,,Open crocheted raffia tote with ruffle detail; sculptural + 
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,20,no,,St Tropez Pom Pom Straw Tote,Kayu,165,USD,,Hand-woven seagrass market basket w/ raffia pom-poms; Kayu i
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,21,no,,Carmen Woven Straw Clutch,Kayu,172.5,USD,,"Woven straw clutch, the silhouette-gap filler; on sale $172."
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,22,no,,Palm Beach Embroidered Straw Clutch,Kayu,380,USD,,Hand-embroidered straw clutch; handcraft+embellishment macro
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,23,no,,The Canvas Transport Tote,Madewell,78,USD,,Sturdy canvas tote w/ leather straps — perennial sub-$100 wo
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,24,no,,The Transport Tote Straw Edition,Madewell,98,USD,,Straw version of the iconic Transport silhouette; ~$98 (on s
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,25,no,,100% Raffia Tote Bag,Mango,179.99,USD,,100% raffia double-handle tote; the cited sub-$200 raffia he
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,26,no,,Raffia Tote Bag (Men's),Mango,79.99,USD,,"Men's-line raffia tote, unisex appeal; ~$80 sub-$100 entry. "
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,27,no,,Small Basket Bag in Palm Leaf and Calfskin,Loewe,650,USD,,"THE luxury summer basket, handwoven palm leaf+calfskin; Chro"
seasonal-turn-2026,The Summer Bag,The Bag That Survives The Turn,28,no,,Aria Belt Bag,Senreve,495,USD,,Structured Italian-leather belt bag (multi-wear); the elevat
